Stock#,Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Cert#,L-mm,W-mm,D-mm,Depth%,Table%,Girdle,Culet,Remarks,County of Orig,Price,Cert file,Video URL,Image URL
LG425077302,RAD,G,VS1,5.07,IGI,,VG,VG,N,LG425077302,10.88,8.69,5.11,58.8,71.5,"M - STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=425077302,https://view.gem360.in/gem360/1607201038-B-1/gem360-1607201038-B-1.html,
LG11408203,PS,J,SI2,1.5,IGI,,VG,VG,N,LG11408203,8.78,6.5,4.19,64.5,56,"VTK-ETK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG11408203,,
LG380903083,PS,J,VS2,1.01,IGI,EX,VG,VG,N,LG380903083,8.69,5.66,3.56,44,56,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG380903083,,
1.9E+11,EM,K,VS1,2.26,HRD,,VG,G,N,1.9E+11,8.49,6.25,4.37,69.9,55,"VTK, L",,HRD Certificate,,500,https://my.hrdantwerp.com/,,
1.9E+12,OV,K ,SI1,2,HRD,,,,N,1.9E+12,,,,,,,P,HRD Certificate,,500,https://my.hrdantwerp.com/,,
LG389977615,RB,J,VS2,2.07,IGI,EX,EX,EX,N,LG389977615,8.28,8.33,4.83,58.2,62.5,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=389977615,,
LG10945511,RB,H,VS1,1,IGI,VG,VG,EX,N,LG10945511,6.41,6.43,3.93,44.5,61,"STK-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG10945511,,
LG_310842600,RB,I,VS2,1.52,IGI,EX,EX,EX,N,LG_310842600,7.35,7.39,4.55,61.8,56,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=310842600,,
280850162,RB,I,VS1,1.73,GCAL,ID,EX,EX,N,280850162,7.72,7.74,4.77,61.7,57,"M, F",P,"CVD, Type IIa",,500,https://www.gcalusa.com/certificate-search.html?certificate_id=280850162,,
273000024,OV,G,SI1,1.12,GCAL,VG,VG,EX,N,273000024,8.14,5.81,3.68,63.3,57,"STK-TK, F",P,"CVD, Type IIa",,500,https://www.gcalusa.com/certificate-search.html?certificate_id=273000024,,
LG361988834,RB,G,VS2,1.81,IGI,ID,EX,EX,N,LG361988834,7.81,7.84,4.85,62,55.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG361988834,,
LG365959827,AS,G,VS1,2.07,IGI,,VG,G,N,LG365959827,7.27,7.06,4.26,38.5,61.5,"TK-VTK, L",L,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG365959827,,
LG11407910,EM,J,VS2,2.05,IGI,,G,G,N ,LG11407910,8.44,6.16,4.1,66.6,58,"VTK, L",,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG11407910,,
LG10581702,CU,J,SI2,1.9,IGI,,VG,VG,N,LG10581702,7.05,7.01,4.63,66,61.5,"TK-VTK, F",P,"CVD, Type IIa",,500,https://www.igi.org/reports/verify-your-report?r=LG10581702,,
LG395941659,OV,I,VS2,1.04,IGI,,VG,VG,N ,LG395941659,8.5,5.82,3.41,43,57.5,"THN-M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=395941659,,
LG389977586,RB,J,VS2,2.14,IGI,EX,EX,VG,N,LG389977586,8.34,8.41,4.93,58.8,62,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG389977586,,
LG440088856,RB,F,VS1,2.3,IGI,EX,EX,EX,N,LG440088856,8.34,8.37,5.28,63.3,56,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG440088856,,
LG414079319,RB,G,SI1,1.03,IGI,ID,EX,EX,N,LG414079319,6.47,6.5,4,61.7,58,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG414079319,,
LG447076312,RAD,H,VS2,5.01,IGI,,EX,EX,N,LG447076312,9.69,9.25,5.98,64.6,57,STK- F,P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG447076312,https://widget.cutwise.com/report/v1/105618#vibox,
LG445029174,OV,G,SI1,2.07,IGI,,EX,EX,N,LG445029174,10.05,7.12,4.5,63.2,61,"STK-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG445029174,https://view.gem360.in/gem360/2410200620-C-6/gem360-2410200620-C-6.html,
LG445044548,OV,G,SI1,2.04,IGI,,EX,VG,N,LG445044548,9.97,7.29,4.52,62,57.5,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG445044548,https://view.gem360.in/gem360/2410200638-H-6/gem360-2410200638-H-6.html,
Non-Cert,OV,F,SI2,1.05,,,VG,VG,N,Non-Cert,7.66,5.7,3.66,64.2,58.7,"M-STK, F",P,"CVD, Type IIa",,500,,,
Non-Cert,RAD,F,SI1,1.16,,,VG,VG,N,Non-Cert,6.63,5.21,3.51,67.4,71,"M-STK, F",P,"CVD, Type IIa",,500,,,
Non-Cert,RB,H,VS2,2.6,,VG,VG,VG,N ,Non-Cert,8.7,8.75,5.38,61.7,57,"M-THK, F",P,"CVD, Type IIa",,500,,,
Non-Cert,RB,K,SI1,2.71,,VG,VG,VG,N,Non-Cert,8.81,8.85,5.5,62.3,59,"M-THK, F",P,"CVD, Type IIa",,500,,,
LG445035220,OV,G,SI1,1.51,IGI,,VG,VG,N,LG445035220,9.02,6.45,3.98,61.7,57.5,"M-THK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG445044548,https://drive.google.com/file/d/14z8q-jE5GR2wvBR4CS5TTqKArr3VQtnT/view?usp=sharing,
Non-Cert,RD,J,VS1,2.59,,VG,VG,VG,N,Non-Cert,8.77,8.81,5.42,61.7,57,"M-THK, F",P,"CVD, Type IIa",,500,,,
LG436064959,RAD,I,VS1,3.16,IGI,,EX,EX,N,LG436064959,8.06,7.95,5.44,68.4,67.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG436064959,,
LG389977586,RB,J,VS2,2.14,IGI,EX,EX,VG,N,LG389977586,8.34,8.41,4.93,58.8,62,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG389977586,,
LG395941659,OV,I,VS2,1.04,IGI,,VG,VG,N,LG395941659,8.5,5.82,3.41,43,57.5,"THN-M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=395941659,,
LG440088856,RB,F,VS1,2.3,IGI,EX,EX,EX,N,LG440088856,8.34,8.37,5.28,63.3,56,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG440088856,,
LG414079319,RB,G,SI1,1.03,IGI,ID,EX,EX,N,LG414079319,6.47,6.5,4,61.7,58,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG414079319,,
LG361988834,RB,G,VS2,1.81,IGI,ID,EX,EX,N,LG361988834,7.81,7.84,4.82,62,55.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG361988834,,
LG442031968,RB,I,VS2,3.01,IGI,EX,EX,EX,N,LG442031968,9.17,9.25,5.67,61.5,60,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG442031968,,
LG10926807,OV,J,SI1,1.5,IGI,,VG,VG,N,LG10926807,9.09,6.48,4.02,62,58.5,"STK-TK, F",P,"CVD, Type IIa",,500,https://igionline.com/ecert/viewpdf.htm?itemno=LG10926807,,
LG425058251,CU,J,SI1,4.01,IGI,,EX,VG,N,LG425058251,9.3,8.62,5.57,64.6,63.5,"M-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG425058251,,
LG440097013,RB,F,VS2,1.16,IGI,EX,EX,EX,N,LG440097013,6.65,6.68,4.18,62.7,56,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG440097013,,
LG414075941,RB,J,SI1,2.5,IGI,EX,EX,EX,N,LG414075941,8.79,8.81,5.18,58.9,59.5,"STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG414075941,,
LG440091646,PS,J,VS1,2.5,IGI,,VG,VG,N,LG440091646,11.81,7.58,4.58,60.4,59.5,"STK-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG440091646,,
LG440093418,OV,G,VS2,2,IGI,,VG,VG,N,LG440093418,9.92,7.11,4.31,60.6,56.5,"M-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG440093418,,
273130071,OV,H,SI1,1,GCAL,EX,VG,VG,N,273130071,7.74,5.74,3.37,58.7,63,"TK-VTK, F",P,"CVD, Type IIa",,500,https://www.gcalusa.com/certificate-search.html?certificate_id=273130071,,
LG436069702,RB,I,VS2,2.03,IGI,EX,EX,EX,N,LG436069702,8.03,8.05,5.06,63,56,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG436069702,,
LG407996446,RB,H,VS2,1.7,IGI,ID,EX,EX,N,LG407996446,7.77,7.8,4.62,59.4,59,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG407996446,,
LG442065068,OV,F,SI1,2,IGI,,EX,VG,N,LG442065068,9.56,7.17,4.63,64.6,56,"STK-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG442065068,,
LG10942605,RB,F,VS1,1.02,IGI,EX,EX,EX,N,LG10942605,6.5,6.54,3.95,60.6,60,"M-STK, F",P,"CVD, Type IIa",,500,https://igionline.com/ecert/viewpdf.htm?itemno=LG10942605,,
LG10677307,PR,K,SI1,1,IGI,,VG,VG,N,LG10677307,5.3,5.28,4.05,76.7,72,THK,N,"CVD, Type IIa",,500,https://www.igi.org/reports/verify-your-report?r=LG10677307,,
282010166,OV,H,VS1,1.61,GCAL,EX,EX,EX,N,282010166,9.14,6.85,3.99,58.2,58,"M-TK, F",N,"CVD, Type IIa",,500,https://www.gcalusa.com/certificate-search.html?certificate_id=282010166,,
LG310834957,RB,H,VS2,1.09,IGI,EX,EX,VG,N,LG310834957,6.61,6.64,4.05,61.1,57.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG310834957,,
LG10581620,EM,J,SI2,1.02,IGI,,G,G,N,LG10581620,6.28,4.98,3.85,77.3,68,"TK, F",P,"CVD, Type IIa",,500,https://igionline.com/ecert/viewpdf.htm?itemno=LG10581620,,
LG11408211,EM,J,SI2,1.82,IGI,,VG,G,N,LG11408211,7.32,7.09,3.91,55.1,60.5,THK-VTK,N,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG11408211,,
LG11408203,PS,J,SI2,1.5,IGI,,VG,G,N,LG11408203,8.78,6.5,4.19,64.5,56,"VTK-ETK, F",N,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG11408203,,
LG380903083,PS,J,VS2,1.01,IGI,,VG,EX,N,LG380903083,8.69,5.66,3.56,44,56,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG380903083,,
LG_305811660,RB,H,SI1,1.22,IGI,EX,EX,VG,N,LG_305811660,6.82,6.86,4.23,61.8,57.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG_305811660,,
LG_305892856,RB,H,SI1,1.05,IGI,EX,EX,VG,N,LG_305892856,6.49,6.52,4.02,61.9,57.5,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG_305892856,,
LG11408208,OV,I,SI2,1.52,IGI,,VG,G,N,LG11408208,9.09,6.1,3.95,64.8,56,"THK-ETK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG11408208,,
LG407933609,RB,E,SI1,1.63,IGI,EX,EX,EX,N,LG407933609,7.45,7.47,4.67,62.6,58,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG407933609,,
LG414063401,PR,H,VS1,1.02,IGI,,EX,EX,N,LG414063401,5.5,5.29,3.94,74.5,71.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG414063401,,
LG10936711,PS,J,SI1,1,IGI,,EX,EX,N,LG10936711,8.39,5.64,3.54,62.8,58,"M-VTK, F",N,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG10936711,,
LG445033329,RB,I,VS2,2.03,IGI,ID,EX,EX,N,LG445033329,8.08,8.16,5.05,62.2,57.5,"M, F",N,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=445033329,https://v360.in/DiamondView.aspx?d=445033329&cid=Diamond360,
LG440092800,RB,I,VS2,2.02,IGI,ID,EX,EX,N,LG440092800,8.09,8.14,5,61.6,56.5,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=LG440092800,https://v3601300.v360.in/vision360.html?d=2210205-440092800,
LG444086762,OV,H,SI1,1.5,IGI,,VG,VG,N,LG444086762,9.18,6.49,3.75,57.8,58,"M-TK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=444086762,https://v360.in/DiamondView.aspx?d=444086762&cid=diamond360,
LG384931705,RB,H,SI1,1.5,IGI,EX,EX,VG,N,LG384931705,7.22,7.29,4.55,62.7,60.5,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=384931705,https://photos.stargrowndiamonds.com/Vision360.html?d=92,
LG407940631,RB,I,VS1,1.5,IGI,EX,EX,EX,N,LG407940631,7.38,7.41,4.52,61.2,57.5,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=407940631,https://photos.stargrowndiamonds.com/Vision360.html?d=912,
LG395940812,RB,I,SI1,1.5,IGI,ID,EX,EX,N,LG395940812,7.35,7.38,4.49,61,55,"M-STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=395940812,https://photos.stargrowndiamonds.com/Vision360.html?d=916,
LG407941065,RB,E,VS2,1.06,IGI,EX,EX,EX,N,LG407941065,6.51,6.55,4.05,62,58,"M, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=407941065,https://photos.stargrowndiamonds.com/Vision360.html?d=384,
LG445047712,RB,G,SI2,1.3,IGI,EX,EX,EX,N,LG445047712,6.89,6.92,4.35,62.9,55.5,"STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=445047712,https://photos.stargrowndiamonds.com/Vision360.html?d=1089,
LG445026359,RAD,G,VVS2,1.71,IGI,,EX,VG,N,LG445026359,6.56,6.52,4.15,63.7,63.5,"STK, F",P,"CVD, Type IIa",,500,https://www.igi.org/viewpdf.php?r=445026359,https://v360.in/DiamondView.aspx?d=SGD-1127&cid=Diamond360,
